fib(0): 136.586µs
fib(1): 70.109µs
fib(2): 173.091µs
fib(3): 187.274µs
fib(4): 285.537µs
fib(5): 480.484µs
fib(6): 738.413µs
fib(7): 1.295784ms
fib(8): 2.358058ms
fib(9): 4.057293ms
fib(10): 6.494651ms
fib(11): 10.529199ms
fib(12): 17.41275ms
fib(13): 27.3773ms
fib(14): 44.619609ms
fib(15): 75.223123ms
fib(16): 126.089546ms
fib(17): 205.952888ms
fib(18): 340.766655ms
fib(19): 571.553677ms
fib(20): 941.533172ms
fib(21): 1.577676551s
fib(22): 2.606887664s
fib(23): 4.341883341s
fib(24): 7.05432163s
